id,name,category,source,lat,lon,wikidata_qid,reason,boundary_municipality,boundary_status
overture:Aldeia Maracanã:-22.91103:-43.22773,Aldeia Maracanã,art_museum,overture,-22.911029815673828,-43.22772979736328,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:Cantina do Mam:-22.91401:-43.17272,Cantina do Mam,art_museum,overture,-22.914005279541016,-43.17272186279297,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:Casa França-Brasil:-22.90061:-43.17572,Casa França-Brasil,art_museum,overture,-22.900606155395508,-43.175724029541016,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:Casa de Cultura Ife Ominira:-22.86266:-43.36122,Casa de Cultura Ife Ominira,art_museum,overture,-22.862659454345703,-43.36122131347656,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:Casa de Cultura José Bonifácio:-22.76375:-43.10957,Casa de Cultura José Bonifácio,art_museum,overture,-22.763750076293945,-43.10957336425781,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:Chácara do Céu:-22.91795:-43.18295,Chácara do Céu,art_museum,overture,-22.91794776916504,-43.18294906616211,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:Cinemateca do MAM:-22.91382:-43.17284,Cinemateca do MAM,art_museum,overture,-22.913820266723633,-43.17283630371094,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:Ensaio Técnico de Rua Unidos da Tijuca:-22.90422:-43.20693,Ensaio Técnico de Rua Unidos da Tijuca,art_museum,overture,-22.90422248840332,-43.20692825317383,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:Exposição Pessach:-22.93586:-43.18978,Exposição Pessach,art_museum,overture,-22.935863494873047,-43.189781188964844,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:Fundação de Arte de Niterói:-22.90369:-43.12493,Fundação de Arte de Niterói,art_museum,overture,-22.903688430786133,-43.12492752075195,,"trusted category, sample-audited clean",Niterói,outside_boundary
overture:Galeria Mestre Vitalino:-22.92574:-43.17659,Galeria Mestre Vitalino,art_museum,overture,-22.925739288330078,-43.17658996582031,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:Instituto Casa Roberto Marinho (ICRM):-22.93993:-43.20409,Instituto Casa Roberto Marinho (ICRM),art_museum,overture,-22.93992805480957,-43.20408630371094,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:Leão Etíope do Méier:-22.90203:-43.27982,Leão Etíope do Méier,art_museum,overture,-22.90203285217285,-43.279823303222656,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:MAAS Museu Arquidiocesano de Arte Sacra do Rio de Janeiro:-22.91072:-43.18043,MAAS Museu Arquidiocesano de Arte Sacra do Rio de Janeiro,art_museum,overture,-22.910724639892578,-43.18042755126953,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:Mac:-22.90781:-43.12584,Mac,art_museum,overture,-22.907814025878906,-43.12583923339844,,"trusted category, sample-audited clean",Niterói,outside_boundary
overture:Mac - Niterói Contemporary Art Museum:-22.82836:-43.28694,Mac - Niterói Contemporary Art Museum,art_museum,overture,-22.8283634185791,-43.28694152832031,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:Museu Antonio Parreiras:-22.90177:-43.12611,Museu Antonio Parreiras,art_museum,overture,-22.90177345275879,-43.12611389160156,,"trusted category, sample-audited clean",Niterói,outside_boundary
overture:Museu Arquidiocesano de Arte Sacra do Rio de Janeiro (MAAS):-22.91014:-43.18058,Museu Arquidiocesano de Arte Sacra do Rio de Janeiro (MAAS),art_museum,overture,-22.910140991210938,-43.180580139160156,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:Museu Astronomico:-22.91216:-43.10838,Museu Astronomico,art_museum,overture,-22.91215705871582,-43.10837936401367,,"trusted category, sample-audited clean",Niterói,outside_boundary
overture:Museu Casa do Pontal:-23.02386:-43.51019,Museu Casa do Pontal,art_museum,overture,-23.02385902404785,-43.510189056396484,,"trusted category, sample-audited clean",Rio de Janeiro,ok
overture:Museu Do Graffiti:-22.81739:-43.35756,Museu Do Graffiti,art_museum,overture,-22.8173885345459,-43.35755920410156,,"trusted category, sample-audited clean",Rio de Janeiro,ok
